Name,City,Rating,Latitude,Longitude
Hotel Permata Hati,Aceh Besar,4.1,5.532172699999999,95.3526294
Hotel Meuligoe,Aceh Barat,3.8,4.1440329,96.1256246
Hotel Tiara Meulaboh,Aceh Barat,3.7,4.1430734,96.1272596
Hadrah Hotel,Banda Aceh,4.1,5.5556207,95.34413510000002
Mulia Hotel,Gayo Lues Regency,4.2,3.9961003,97.3391689
Sei Hotel,Banda Aceh,3.8,5.562886300000001,95.322882
Sribudaya resort & homestay,Aceh Besar Regency,4.8,5.5150144,95.3235986
Hotel Sartika,Southeast Aceh Regency,3.6,3.4910912,97.8050067
The Pade Hotel,Aceh Besar,4.3,5.5172829,95.3167276
Hermes Palace Hotel Banda Aceh,Banda Aceh,4.4,5.5559514,95.3437403
Hotel Kyriad Muraya,Banda Aceh,4.5,5.5564827,95.3223241
Kumala Hotel,Banda Aceh,4.3,5.5514097,95.3453482
Hotel amoda dan cafe,Banda Aceh,4.5,5.5321061,95.3386661
Hotel Grand Nanggroe,Banda Aceh,4.1,5.5372051,95.3411207
Amel Hotel & Convention Hall,Banda Aceh City,4.3,5.552010999999999,95.3023034
Grand Emperom,Banda Aceh City,4.8,5.527447,95.2953434
Oasis Atjeh Hotel,Banda Aceh City,4.2,5.540542599999999,95.3391556
Hotel Permata Hati,Aceh Besar,4.1,5.532172699999999,95.3526294
Hotel Rasamala Indah,Banda Aceh,4.2,5.537937,95.3078964
Grand Permatahati Hotel,Banda Aceh,4.2,5.5527753,95.2980075
Portola Grand Arabia Hotel,Banda Aceh,4.4,5.551654500000001,95.3133069
Ayani Hotel Banda Aceh,Banda Aceh,4.4,5.5570339,95.3193251
Parkside Alhambra Hotel Banda Aceh,Banda Aceh,4.6,5.555547799999999,95.3219149
Pavilliun Selawa Hotel,Banda Aceh,4.2,5.5516711,95.3132834
Grand Mahoni Hotel,Banda Aceh,4.5,5.544442399999999,95.3229796
Fhandika Boutique Inc.,Banda Aceh,4.7,5.5532641,95.2948859
Hijrah Hotel,Aceh Besar Regency,4.1,5.5106119,95.3616484
SEVENTEEN17 HOTEL,Banda Aceh City,4.3,5.5396883,95.3090167
Hermes Palace Hotel Banda Aceh,Banda Aceh,4.4,5.5559514,95.3437403
Hotel Permata Hati,Aceh Besar,4.1,5.532172699999999,95.3526294
Ayani Hotel Banda Aceh,Banda Aceh,4.4,5.5570339,95.3193251
Hadrah Hotel,Banda Aceh,4.1,5.5556207,95.34413510000002
Hotel Pantai Barat,Aceh Jaya Regency,3.3,4.629434799999999,95.5970513
Grand Mahoni Hotel,Banda Aceh,4.5,5.544442399999999,95.3229796
111 Ocean View,Aceh Jaya,5.0,4.864458099999999,95.4089803
Khana Hotel,Aceh Jaya,3.1,4.6311315,95.5789865
EVA SKY HOTEL,Aceh Barat,4.4,4.163213,96.1321874
My Home Hotel Aceh,Banda Aceh,5.0,5.5562488,95.3201863
Wisma AMM,Aceh Jaya,4.1,4.6337809,95.5878394
Sei Hotel,Banda Aceh,3.8,5.562886300000001,95.322882
Hotel GM Inn,Banda Aceh,4.2,5.557826599999999,95.321039
Quanza Hotel,Banda Aceh,5.0,5.5555734,95.34467
Guest House Arafah Calang Aceh Jaya,Aceh Jaya Regency,4.3,4.6350041,95.5829748
PLUM Hotel Lading Banda Aceh,Banda Aceh,4.0,5.5558301,95.31744
Hotel Medan,Banda Aceh,4.1,5.5574546,95.3186831
UB Caisar Hotel,Banda Aceh,2.8,5.575539399999999,95.3472039
Sribudaya resort & homestay,Aceh Besar Regency,4.8,5.5150144,95.3235986
HMQ Guest House,Aceh Besar Regency,4.8,5.5979357,95.3774204
Dian Rana Hotel dan Restaurant,Aceh Selatan,3.7,3.2581811,97.1889341
Hermes Palace Hotel Banda Aceh,Banda Aceh,4.4,5.5559514,95.3437403
Metro Hotel Syariah,Aceh Selatan,3.6,3.2565051,97.172017
Ayani Hotel Banda Aceh,Banda Aceh,4.4,5.5570339,95.3193251
Hotel Rasamala Indah,Banda Aceh,4.2,5.537937,95.3078964
EVA SKY HOTEL,Aceh Barat,4.4,4.163213,96.1321874
CATHERINE HOTEL,Aceh Selatan,4.2,3.2550853,97.1734235
Grand Leuser Hotel,Southwest Aceh Regency,4.0,3.741005,96.8328867
Pavilliun Selawa Hotel,Banda Aceh,4.2,5.5516711,95.3132834
Hotel Panorama,Aceh Selatan,3.5,3.2530889,97.1793183
Simpang Raja Hotel,Aceh Selatan,4.3,2.926567,97.4852926
My Home Hotel Aceh,Banda Aceh,5.0,5.5562488,95.3201863
Hotel Azizi Syariah,Aceh Selatan,3.9,3.2524834,97.1752457
Hotel GM Inn,Banda Aceh,4.2,5.557826599999999,95.321039
Losmen Rahmat,Aceh Selatan,3.9,3.2593454,97.1802023
Gunung Tuan Hotel,Aceh Selatan,4.1,3.2554886,97.1804878
Hotel Permata Hati,Aceh Besar,4.1,5.532172699999999,95.3526294
Warong Bang Fan/Penginapan,South Aceh Regency,4.5,2.8313021,97.6280901
UB Caisar Hotel,Banda Aceh,2.8,5.575539399999999,95.3472039
Quanza Hotel,Banda Aceh,5.0,5.5555734,95.34467
MB Camp Singkil,Aceh Singkil,4.5,2.2836864,97.910476
The Palambak Paradise Resort,Aceh Singkil Regency,4.7,2.1666156,97.4384976
Ira bungalows,Aceh Singkil Regency,4.9,2.3187956,97.2234801
MB Palambak Island Resort,Aceh Singkil Regency,4.8,2.1841254,97.4349986
Island Hotel,Aceh Singkil,3.3,2.2721228,97.8082636
Hotel Dina Amalia,Aceh Singkil,3.9,2.2701907,97.8158843
Kimo Resort,Aceh Singkil Regency,4.3,2.2658621,97.4167753
Hotel Alviya,Aceh Singkil Regency,4.1,2.2736338,97.8132031
Hotel Keluarga,Aceh Singkil Regency,3.9,2.3936075,97.9625338
Tailana Island,Aceh Singkil Regency,4.9,2.2780244,97.2310793
Hotel Salsabila,Aceh Singkil,3.9,2.2715535,97.8123859
PENGINAPAN NURUL HIKMAH,Subulussalam City,5.0,2.6372525,98.0047857
Hotel Langgeng Jaya,Aceh Singkil Regency,3.6,2.3877545,97.9718144
Hermes one subulussalam,Subulussalam City,3.5,2.6360764,98.0139762
losmen putri,Aceh Singkil Regency,4.2,2.2998805,97.4083466
Hotel Anak Laut,Aceh Singkil Regency,4.2,2.2727965,97.8705882
Lae Kombih,Aceh Singkil Regency,3.9,2.3010897,97.410471
Hotel Bidadari,Aceh Singkil Regency,3.6,2.2698674,97.8108273
Resort The Sapo Belen,Aceh Singkil Regency,3.9,2.283614,97.79873
The Point Palambak,Aceh Singkil Regency,3.7,2.1813657,97.4304531
HOTEL MORIELISA,Aceh Tamiang,3.9,4.3038101,98.0460592
Grand Arya HOTEL,Aceh Tamiang,3.6,4.2989671,98.0485552
L Ruma Langsa,Langsa,4.3,4.4732197,97.9677348
Jagoci Inn,Aceh Tamiang Regency,4.7,4.305051199999999,98.04600630000002
New Mori Hotel,Aceh Tamiang,3.8,4.2838483,98.058086
OYO 3328 Hotel Mori,Aceh Tamiang,3.6,4.2843386,98.0581778
OYO 3077 Hotel Morielisa,Aceh Tamiang Regency,4.0,4.3037439,98.0460716
HOTEL BESITANG,Langkat Regency,3.6,4.0778027,98.1167859
Sei Hotel,Banda Aceh,3.8,5.562886300000001,95.322882
Hotel Permata Hati,Aceh Besar,4.1,5.532172699999999,95.3526294
Hotel Sederhana Syariah,Aceh Tamiang Regency,3.8,4.3016188,98.0472747
Losmen Kualasimpang,Aceh Tamiang Regency,3.9,4.2827087,98.0591059
Penginapan Chocolate,Langsa,4.1,4.4944454,97.9703029
Hotel Medan,Banda Aceh,4.1,5.5574546,95.3186831
Kartika Hotel Langsa,Langsa,3.9,4.4783568,97.9573584
Grand Aceh Hotel,Banda Aceh,3.9,5.5485829,95.3299437
Mulia Hotel,Gayo Lues Regency,4.2,3.9961003,97.3391689
De Farasat Guest House,Langsa,4.8,4.4793713,97.9483968
Grand Aceh Syariah Hotel,Banda Aceh,3.8,5.5316225,95.338898
RedDoorz Syariah near Universitas Samudera Langsa,Langsa City,4.3,4.4635775,97.9776407
Parkside Gayo Petro Hotel - Takengon,Central Aceh Regency,4.5,4.631628099999999,96.8539979
Portola Grand Renggali Hotel Takengon,Aceh Tengah,4.2,4.6121859,96.8641628
Umah Bango Bungalow,Aceh Tengah,4.9,4.6255226,96.8557748
Grand Bayu Hill Hotel,Central Aceh Regency,4.3,4.6420246,96.8393552
Biehomestay,Aceh Tengah,4.6,4.6370833,96.8612183
Petro Inn Takengon,Central Aceh Regency,4.2,4.6318419,96.8535458
Hotel Linge Land,Central Aceh Regency,3.8,4.622033099999999,96.8385722
Jejunten Bango Homestay,Central Aceh Regency,5.0,4.6254671,96.8559683
Hotel Bayu Hill,Aceh Tengah,3.9,4.6232586,96.8467951
Depik Inn Guesthouse,Central Aceh Regency,4.8,4.6358125,96.8600625
Hotel Belangi Syariah,Aceh Tengah,4.7,4.6300304,96.8344354
DEGAYO CHALET,Central Aceh Regency,4.4,4.599654,96.912539
de Bur Telege Villa,Central Aceh Regency,4.5,4.6122835,96.8544267
Hotel Triarga Takengon,Aceh Tengah,5.0,4.6238281,96.8496881
QQ HOMESTAY TAKENGON,Central Aceh Regency,4.1,4.6335728,96.8531816
Fairuz Hotel,Aceh Tengah,4.7,4.6363454,96.8487169
Hotel Riyadh,Central Aceh Regency,4.5,4.632785699999999,96.8552242
Hotel Jeddah,Aceh Tengah,3.9,4.625168899999999,96.8511477
Arani Guest House,Aceh Tengah,4.5,4.637842399999999,96.8487606
Grand Penemas Hotel,Aceh Tengah,3.6,4.6257246,96.8503756
Hotel Bru Dihe,Southeast Aceh Regency,3.6,3.4842646,97.8115533
Hotel Maroon,Aceh Tenggara,3.5,3.4842798,97.8121451
Hermes Palace Hotel Banda Aceh,Banda Aceh,4.4,5.5559514,95.3437403
thousand hills ketambe sumatra,Aceh Tenggara,4.4,3.6764966,97.6625585
Hotel Sartika,Southeast Aceh Regency,3.6,3.4910912,97.8050067
Ayani Hotel Banda Aceh,Banda Aceh,4.4,5.5570339,95.3193251
Hotel Ladena,Aceh Tenggara,4.4,3.4843111,97.8120455
Sumatran Orangutan Wisma Cinta Alam Leuser NP,Aceh Tenggara,4.4,3.6793664,97.6560775
OYO 2410 Intan Hotel,Southeast Aceh Regency,3.5,3.2966292,97.9661431
Sei Hotel,Banda Aceh,3.8,5.562886300000001,95.322882
The Pade Hotel,Aceh Besar,4.3,5.5172829,95.3167276
Penginapan Bali Buene,Southeast Aceh Regency,3.9,3.4820056,97.8121212
HOTEL LADENA,Southeast Aceh Regency,5.0,3.4792084,97.8129819
Hotel Permata Hati,Aceh Besar,4.1,5.532172699999999,95.3526294
Hotel Mekkah,Banda Aceh City,4.0,5.566531,95.3379111
Hotel Eka Jaya,Aceh Tenggara,3.3,3.4795435,97.8152843
My Home Hotel Aceh,Banda Aceh,5.0,5.5562488,95.3201863
Orangutan Ketambe Guesthouse & Restaurant,Aceh Tenggara,4.5,3.6727404,97.6614669
Leuser Ketambe Guesthouse,Southeast Aceh Regency,4.5,3.6859684,97.648728
Friendship Guesthouse & Restaurant Ketambe,Aceh Tenggara,4.3,3.6792553,97.6563177
The Royal Idi Hotel,East Aceh Regency,4.2,4.938197499999999,97.7800862
L Ruma Langsa,Langsa,4.3,4.4732197,97.9677348
Khalifah Hotel,Aceh Timur,3.7,4.950475,97.7731629
Hotel Baru Idi,East Aceh Regency,3.8,4.9382617,97.7800972
Hotel Shafira Guest House,East Aceh Regency,4.3,4.8126985,97.8959241
MOTEL DANIL,East Aceh Regency,4.5,5.054041499999999,97.6000233
Wisma 88,East Aceh Regency,4.0,4.951687499999999,97.7714375
Hotel Harmoni,Langsa,3.6,4.4800246,97.9559562
My Home Hotel Aceh,Banda Aceh,5.0,5.5562488,95.3201863
Ayani Hotel Banda Aceh,Banda Aceh,4.4,5.5570339,95.3193251
Penginapan Chocolate,Langsa,4.1,4.4944454,97.9703029
Khalifah Hotel,East Aceh Regency,3.5,4.986935,97.716823
Grand Mahoni Hotel,Banda Aceh,4.5,5.544442399999999,95.3229796
Hermes Palace Hotel Banda Aceh,Banda Aceh,4.4,5.5559514,95.3437403
Quanza Hotel,Banda Aceh,5.0,5.5555734,95.34467
Kartika Hotel Langsa,Langsa,3.9,4.4783568,97.9573584
Hotel Permata Hati,Aceh Besar,4.1,5.532172699999999,95.3526294
Portola Arabia Hotel,Banda Aceh,4.1,5.5577848,95.3202096
Hotel Belangi Syariah,Aceh Tengah,4.7,4.6300304,96.8344354
Sei Hotel,Banda Aceh,3.8,5.562886300000001,95.322882
MK Mulia Hotel Lhoksukon,North Aceh Regency,4.4,5.041399,97.324371
Winton Hotel Lhokseumawe,Lhokseumawe City,4.1,5.1775914,97.1500726
Hotel Rajawali,Lhokseumawe,4.0,5.1759083,97.1489141
Kumala Hotel,Banda Aceh,4.3,5.5514097,95.3453482
Lido Graha Hotel,Lhokseumawe,3.6,5.1687758,97.1333736
Hermes Palace Hotel Banda Aceh,Banda Aceh,4.4,5.5559514,95.3437403
Hotel Grand Sydney,Lhokseumawe City,4.3,5.174146299999999,97.1497512
Hotel Diana,Lhokseumawe,3.8,5.1773169,97.1346863
PAG Guest House,Lhokseumawe City,4.2,5.220342899999999,97.0481585
Al-Safwa Hotel,Lhokseumawe City,4.9,5.2103686,97.0717505
Hotel Permata Hati,Aceh Besar,4.1,5.532172699999999,95.3526294
OYO 2180 Vina Vira Hotel,Lhokseumawe,4.1,5.180186,97.1516832
Quanza Hotel,Banda Aceh,5.0,5.5555734,95.34467
Hotel Krung Geukuh,North Aceh Regency,4.3,5.256619,97.001129
Depik Inn Guesthouse,Central Aceh Regency,4.8,4.6358125,96.8600625
Kuta Karang Hotel,Lhokseumawe,4.0,5.181558799999999,97.1456706
Hotel Singapore,Lhokseumawe,3.9,5.1798715,97.1331545
Jiddah Guest House,Lhokseumawe,4.8,5.1897891,97.1487162
Sei Hotel,Banda Aceh,3.8,5.562886300000001,95.322882
Hotel GM Inn,Banda Aceh,4.2,5.557826599999999,95.321039
The Balcone Hotel & Resort Bukittinggi,Agam Regency,4.5,-0.2607252,100.353376
Parkside Nuansa Maninjau Resort,Agam Regency,4.3,-0.3031862,100.2485497
Hotel Maninjau Indah,Agam,3.9,-0.299032,100.2243164
Muaro Beach Bungalows,Agam Regency,4.6,-0.2964971,100.2238046
Muara Hotel,Agam,4.5,-0.3368008,100.382479
Beach Guest House,Agam,4.5,-0.2955085,100.226338
Hotel Sakura Syariah,Agam,4.4,-0.3196884,100.0148022
Padi Ecolodge,Bukittinggi,4.9,-0.3071891,100.3615229
Wisma Maninjau Lake Inn,Agam,4.2,-0.2817103,100.2228078
Pakoan Indah Hotel Bukittinggi (Syariah),Agam,4.6,-0.2766002,100.3678178
SUMATRA ecoresort,Agam Regency,4.9,-0.3057881,100.3423619
Tan Dirih Hotel,Agam Regency,4.5,-0.292719,100.2271689
Hotel Sultan Syariah Bukittinggi,Agam,4.4,-0.2951928,100.397668
Hillcrest villa and cottages,Agam Regency,4.7,-0.2823005,100.4425518
Bagoes view cottages,Agam,4.6,-0.2942477,100.2286967
Rumah Pakankamih,Agam,4.5,-0.2544114,100.3962388
GRAND GABELO HOTEL,Agam Regency,4.5,-0.2806646,100.3674463
Mahkota Family Homestay,Agam,4.7,-0.3260525,100.3815964
"HOTEL & RESORT, Pasir Panjang Permai",Agam,4.0,-0.2910834,100.2272757
Arro Hotel Bukittinggi (Syariah),Agam Regency,4.3,-0.2786781,100.3664194
Simfony Hotel Alor,Alor,4.4,-8.2167411,124.5254424
Hotel Pulo Alor,Alor Regency,4.0,-8.215930199999999,124.5465849
SAVU South Alor,Alor Regency,4.9,-8.3995971,124.3416712
Alami Alor Dive Resort,Alor,4.8,-8.272423999999999,124.444837
Alor Divers - Beach Resort - Alor Archipelago - Indonesia,Alor Regency,5.0,-8.2118497,124.3288333
Alor Tanapi Dive Resort,Alor Regency,4.9,-8.230402999999999,124.3983587
Tamala Homestay,Alor Regency,4.5,-8.2182518,124.5385126
Aikoli Kang Resort,Alor Regency,4.6,-8.2248438,124.5493538
Alor Beach Front Bungalows,Alor Regency,4.1,-8.2334264,124.4000456
Mokkolipa Guesthouse,Alor Regency,4.6,-8.217484899999999,124.5293021
Hotel Melati,Alor,4.1,-8.2188445,124.5176724
ALOR DIVING - La P'tite Kepa,Alor,4.5,-8.268882699999999,124.4013309
Marangki_kepa,Alor Regency,4.8,-8.2714693,124.403769
Hotel Nur Fitrah,Alor Regency,3.4,-8.2227972,124.5454674
Dinda Home stay Alor NTT,Alor,4.4,-8.2125176,124.5165884
Hotel Pelangi Indah,Alor Regency,3.6,-8.2166713,124.5257773
Marlina Hotel,Alor,3.9,-8.2158593,124.5461132
Adi Darma Hotel,Alor,3.7,-8.218487399999999,124.5163631
Homestay Cantik,Alor Regency,4.2,-8.2121653,124.5166568
Best Hotel Malang,Malang,4.3,-7.826810399999999,112.7275526
Hotel Santika Premiere Ambon,Ambon,4.5,-3.6788521,128.1941333
Swiss-Belhotel Ambon,Ambon,4.4,-3.6946958,128.1854456
Golden Palace Hotel,Ambon,4.2,-3.6903136,128.1865391
The City Hotel,Ambon,4.4,-3.6893286,128.1867568
Amaris Hotel Ambon,Ambon,4.2,-3.7012296,128.182691
RumaRuma Farvet Residence,Ambon,4.8,-3.7048369,128.1749885
Manise Hotel Ambon,Ambon,4.1,-3.6939144,128.1852571
Everbright Hotel,Ambon,3.9,-3.691141,128.1872645
The Natsepa,Maluku Tengah,4.4,-3.622429599999999,128.2856787
Pacific Hotel,Ambon,4.1,-3.6908913,128.1867196
Kamari Hotel Ambon,Ambon,4.6,-3.6947407,128.1860994
Hotel Amans Ambon Manise,Ambon,4.0,-3.6881915,128.1846572
BIZ HOTEL AMBON,Ambon,4.3,-3.6973382,128.1815834
LeGreen Suite Ratulangi,Ambon,4.0,-3.6950722,128.1788383
Elizabeth Hotel & Resort,Ambon,3.9,-3.6976047,128.1832976
Hotel Atlantic Ambon,Ambon,4.0,-3.6970928,128.1800529
Hotel New Mulia,Ambon,3.9,-3.6921909,128.1883361
Grand Tawiri Hotel Ambon,Ambon,3.7,-3.6959605,128.1040609
Tirta Kencana Hotel,Ambon,4.3,-3.7246379,128.144896
Hotel Mutiara,Ambon,4.1,-3.6947596,128.1834869
Shangrila Hotel,Asahan,4.3,2.5883429,99.651946
Singapore City Hotel,Batu Bara Regency,4.1,3.1159902,99.5851256
Hotel Antariksa,Asahan,4.1,2.9776706,99.6138994
Hotel Nusa Indah Kisaran,Asahan Regency,3.8,2.9631364,99.6292691
Hotel Bintang,Asahan,3.8,2.9794507,99.6303911
Hotel Marina,Asahan Regency,3.9,2.9809008,99.6233346
GSS - Grand Sei Silau Hotel,Asahan,4.7,2.9751848,99.6285394
Hotel Assyifa,Tanjung Balai,4.4,2.962737,99.7936715
Hotel Buluh Pagar Indah,Asahan Regency,4.0,2.871576,99.6731411
Grand Singgie Hotel,Asahan,4.3,2.9636528,99.8023915
HOTEL CENTRAL,Asahan,3.8,2.9772619,99.613947
Hotel Kartini Kisaran,Asahan,4.6,2.9813219,99.6169377
Sabty Garden Hotel,Asahan,3.9,2.983789,99.6130003
First Inn Hotel,Asahan Regency,3.9,2.9782214,99.6311697
Hotel Cahaya Asahan,Asahan,3.9,2.9799158,99.6301826
Hotel Pesona Wisata,Asahan Regency,3.7,2.8577606,99.666293
Hotel Pasirma,North Labuhan Batu Regency,3.5,2.5810869,99.6552553
Hotel Losmen Family,Asahan,4.4,2.9836759,99.6285084
Airy Eco Imam Bonjol 157 Kisaran,Asahan,3.7,2.9793573,99.6303852
Hotel Permata Warna,Labuhanbatu Utara,4.3,2.571315100000001,99.6529602
Rayz UMM Hotel Malang,Malang,4.5,-7.9207036,112.5937484
Padi Heritage Resort,Malang,4.3,-7.932058,112.606717
Tya Family Guest House,Malang,4.2,-7.9383559,112.5885009
Kamar,Malang,0.0,-7.921798799999999,112.6052452
hotel,Malang,5.0,-7.933957599999999,112.6005018
OYO 1179 Mhs Inn,Malang,3.7,-7.9375352,112.6022275
Asrama Putri Papua,Malang,0.0,-7.9674616,112.6043027
Guest House Sekar,Malang,4.3,-7.924454900000001,112.589571
Tlogomas Guest House,Malang,4.5,-7.933264599999998,112.6035974
Smart Tlogomas Syariah,Malang,4.4,-7.934344100000001,112.6031137
SANS HOTELS,Malang,0.0,-7.943109599999999,112.6172748
éL Hotel Malang,Malang,4.2,-7.9022006,112.6056572
OYO 93040 Calatheya Homestay Syariah,Malang,0.0,-7.9283208,112.607144
DE LAIA INN MALANG,Malang,4.2,-7.943645199999999,112.6180731
Omah Backpacker - Hotel dan Penginapan Murah di Malang,Malang,4.2,-7.900265099999999,112.6034971
Everyday Smart Hotel,Malang,4.0,-7.949442100000001,112.6166449
Damar Boutique Hotel,Malang,4.3,-7.9527351,112.6361236
Hotel Unbraw MalaMalang,Malang,0.0,-7.941906299999999,112.6093079
Joyo Homestay Syariah,Malang,4.4,-7.9412612,112.5996807
Amaris Hotel Malang,Malang,4.2,-7.9607202,112.6365062
Nagoya Hill Hotel,Batam,4.4,1.1475358,104.0128956
The Golden Bay Hotel,Batam City,4.2,1.1629117,104.040123
Hotel Santika Batam,Batam City,4.6,1.1289707,104.0525617
Batam City Hotel,Batam,4.3,1.1344268,104.010848
King’s Hotel Batam,Batam,4.2,1.1429167,104.0223007
Harmoni One Convention Hotel & Service Apartments,Batam,4.4,1.1321087,104.0481551
"Holiday Inn Resort Batam, an IHG Hotel",Batam City,4.4,1.0748326,103.9328845
Zest Harbour Bay Batam,Batam,4.5,1.1550269,103.9986603
Hotel Osaka Batam,Batam City,4.1,1.1450842,104.0054447
Batam View Beach Resort,Batam City,4.2,1.1849357,104.0745563
Batam Marriott Hotel Harbour Bay,Batam City,4.8,1.154325,103.9969279
ibis Styles Batam Nagoya,Batam,4.4,1.153366,104.020952
Nagoya Mansion Hotel and Residence,Batam City,4.2,1.1435581,104.0151262
Beverly Hotel Batam,Batam,4.4,1.1377321,104.0159698
Aston Batam Hotel & Residences,Batam,4.6,1.1426613,104.0205929
Swiss-Belhotel Harbour Bay,Batam,4.4,1.1535778,104.0002622
Four Points by Sheraton Batam,Batam,4.5,1.1486694,104.0063926
Hans Inn,Batam,4.3,1.1448524,104.0065467
RedDoorz Premium near Harbour Bay Mall Batam 2,Batam,4.0,1.1493737,104.012998
Pacific Palace Hotel,Batam City,4.5,1.1514411,104.0009001
d'primahotel Seminyak,Badung,4.2,-8.682205399999999,115.154309
Triyana Resort Carangsari,Badung,4.7,-8.443429499999999,115.2241015
Sun Boutique Hotel,Badung,4.1,-8.7075342,115.1838625
The Kubu Hotel,Badung Regency,4.0,-8.718938200000002,115.1733548
The Baliem Hotel,Badung Regency,5.0,-8.8036654,115.1626134
ASTON Canggu Beach Resort,Badung,4.4,-8.658045399999999,115.1307874
Kuta Beach Hotel,Badung Regency,4.1,-8.7127594,115.1686592
Bali Tulip Hotel,Badung,4.1,-8.6288742,115.1783181
THE 1O1 Bali Fontana Seminyak,Badung,4.4,-8.7041443,115.1775841
Best Western Resort Kuta,Badung,4.3,-8.732038,115.171392
The Open House Bali Hotel,Badung,4.5,-8.769916799999999,115.1699218
Kuta Central Park Hotel Bali,Badung Regency,4.2,-8.7103142,115.1793693
Balinea Villa & Spa,Badung,4.8,-8.67109,115.167461
Grand Sovereign Kuta Bali,Badung,4.3,-8.7434263,115.1788254
Arunika Hotel,Badung,4.7,-8.7432988,115.1788161
Dream of Aventus Hotel Kuta,Badung,4.6,-8.715964099999999,115.1815361
CRYSTALKUTA Hotel - Bali,Badung,4.2,-8.7301203,115.1787098
Lilis Ikvala Radha,Badung,4.1,-8.6118756,115.1353821
Hotel Jepun,Badung,4.3,-8.7267841,115.1715422
Bayt Kaboki Hotel,Badung,4.3,-8.7200893,115.185223
Ashofa Hotel Syariah Tanjung,Tabalong Regency,4.6,-2.1995946,115.4454435
ASTON Tanjung City Hotel,Tabalong Regency,4.6,-2.1769314,115.4237175
Bombora Balangan Resort,Badung,4.7,-8.7935562,115.1242269
La Joya Balangan Resort,Badung,4.4,-8.792701899999999,115.1250535
Hotel Mulia,Balangan Regency,3.4,-2.3428908,115.4618449
Alif Guest House Balangan,Balangan Regency,4.0,-2.3306875,115.4630625
Hotel Beza,Tabalong Regency,4.8,-2.1769232,115.4197622
Safira Guest House,Tabalong Regency,4.6,-2.17025,115.38363
Jelita Tanjung Hotel,Tabalong Regency,3.9,-2.1719661,115.3965103
Wisma Manyandar,Balangan Regency,4.3,-2.3356186,115.4614592
Balangan House 2Bedrooms,Balangan,4.3,-8.8046331,115.1408153
Hotel Indiana Syariah RedPartner,Tabalong,3.8,-2.1693822,115.3818373
Balangan Beach Villa,Badung,4.4,-8.7935448,115.1290162
Hotel Balqis,Hulu Sungai Utara,4.0,-2.4239464,115.2521238
Hotel Shaza Guest House Syaria'h Barabai,Hulu Sungai Tengah,4.3,-2.5824941,115.3843447
Villa Terima Kasih Balangan,Badung Regency,4.8,-8.805049499999999,115.1415145
Minosa Resort Hotel,North Hulu Sungai Regency,4.2,-2.4277279,115.2509991
Kapal Garden Hotel,Malang,4.7,-7.9151203,112.5870178
Casa de Balangan Beach,Badung Regency,3.9,-8.7934016,115.1266851
The Balangan Resort,Badung,0.0,-8.7100628,115.1767792
